cnpj_basico,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,codigo_situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,data_inicio_atividade,cnae_principal,cnae_secundario,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio_siafi,ddd1,telefone1,ddd2,telefone2,dddfax,fax,email,situacao_especial,data_situacao_especial
60018827,0001,54,1,,08,19960910,01,,,19890209,7111100,,RUA,ESTELA,515,BLOCO H CONJ 142,VILA MARIANA,04011002,SP,7107,,,,,,,,,
60018835,0001,09,1,LEX MITIOR,02,20200319,00,,,19890210,6463800,,RUA,MOSSAMEDES,282,,TATUAPE,03325060,SP,7107,11,26718400,,,,,,,
60018843,0001,47,1,,08,19990531,01,,,19890209,5611203,,AVENIDA,SILVESTRE P.DE FREITAS,68,,TABOAO,07144000,SP,6477,,,,,,,,,
60018850,0001,49,1,,04,20181004,63,,,19890210,1340501,,RUA,MADRE DE DEUS,1284,,MOOCA,03918010,SP,7107,,,,,,,,,
60018868,0001,40,1,,02,20061201,00,,,19890209,8888888,,RUA,AURIVERDE,1005,,IPIRANGA,04222001,SP,7107,,,,,,,,,
60018876,0001,97,1,,08,20081231,71,,,19890210,4774100,,RUA,LUIZ FACCINI,255,A,CENTRO,07110000,SP,6477,,,,,,,,,
60018884,0001,33,1,B G MATERIAIS DE CONSTRUCAO,08,19920624,01,,,19890209,4744001,,RUA,JUNDIAI,S/N,,CENTRO,13900360,SP,6137,,,,,,,,,
60018892,0001,80,1,,08,19981030,01,,,19890210,4754701,,RUA,SANTOS DUMONT,759,,CENTRO,08544600,SP,6415,,,,,,,,,
60018892,0002,60,2,,08,19911227,01,,,19901218,4754701,,AVENIDA,BRASIL,510,,VILA CORREA,08502000,SP,6415,,,,,,,,,
60018900,0001,98,1,,08,20081231,71,,,19890209,4774100,,AVENIDA,SAPOPEMBA,1009,,AGUA RASA,03345001,SP,7107,,,,,,,,,
60018918,0001,90,1,,02,20050924,00,,,19890209,4120400,4299501,RUA,DA ASSEMBLEIA,491,ANEXO,VILA OURO VERDE,19816225,SP,6179,11,55061657,,,011,55061657,PWRENG@TERRA.COM.BR,,
60018926,0001,36,1,,02,20051103,00,,,19890209,2945000,,RUA,MATSUICHI WADA,5,,BALN. MAR PAULISTA,04463060,SP,7107,,,,,,,,,
60018926,0002,17,2,,02,20051103,00,,,19930929,2532201,"2945000,3102100",RODOVIA,ALKINDAR M JUNQUEIRA,SN,KM 44 492,BIRICA,12900005,SP,6251,,,,,,,,,
60018934,0001,82,1,,08,20150209,73,,,19890209,4789099,,RUA,DOMINGOS DE MORAIS,1346,1352,SAUDE,04010200,SP,7107,,,,,,,,,
60018942,0001,29,1,,08,20081231,71,,,19890209,1412601,1412603,RUA,ARMANDO CALLIGARIS,231,,VILA BERTINI III,13473490,SP,6131,,,,,,,,,
60018959,0001,86,1,,08,20081231,71,,,19890209,4771701,,RUA,JOSE FELIX DE OLIVEIRA,999,,GRANJA VIANA,06708415,SP,6361,,,,,,,,,
60018967,0001,22,1,,08,20081231,71,,,19890209,1351100,,RUA,VINTE E CINCO DE MARCO,990,10 ANDAR S/102,CENTRO,01021902,SP,7107,,,,,,,,,
60018975,0001,79,1,,08,20081231,71,,,19890213,5611203,,RUA,SAQUAREMA,183,,PAQ ERSAMO ASSUNCAO,09271570,SP,7057,,,,,,,,,
60018983,0001,15,1,,08,19930111,01,,,19890214,4754701,,RUA,SAO PEDRO,19-67,A,CENTRO,15130001,SP,6707,,,,,,,,,
60018991,0001,61,1,,08,20091007,01,,,19890213,4712100,,RUA,HONDURAS,151,,PARQUE DAS NACOES,09280040,SP,7057,,,,,,,,,
60019007,0001,87,1,G & S COBRANCA E REPRESENTACOES,08,20081231,71,,,19890214,8888888,,RUA,RAUL DE CARVALHO,1451,,BOA VISTA,15042102,SP,7097,,,,,,,,,
60019015,0001,23,1,,08,20081231,71,,,19890213,4744001,,RUA,PROF NAPOLEAO DOREA,14,,PARQUE JAPAO,04917160,SP,7107,,,,,,,,,
60019023,0001,70,1,,08,19941228,01,,,19890214,4774100,,RUA,ENG MESQUITA SAMPAIO,73,,CHAC STO ANTONIO,04711000,SP,7107,,,,,,,,,
60019031,0001,16,1,,08,19941026,01,,,19890213,4771701,,RUA,LENICIO DE ALMEIDA,150,,JD.CENTENARIO,07270000,SP,6477,,,,,,,,,
60019049,0001,18,1,,08,20081231,71,,,19890214,4120400,4299501,AVENIDA,MORUMBI,8571,SALA 12,BROOKLIN,04703004,SP,7107,,,,,,,,,
60019056,0001,10,1,ESCAP SOUND SERVICOS AUTOMOTIVOS,08,20210628,01,,,19890213,4530703,"4322301,4330403,4330404,4330402,4399103,4520001,4530705,4744099,8230001,9329899",ESTRADA,MOSTEIRO NOSSA SENHORA DA PAZ,900,,POTUVERA,06888150,SP,6545,11,47464899,11,47713752,11,37429033,ESCAPSOUND@YAHOO.COM.BR,,
60019064,0001,66,1,,08,20081231,71,,,19890214,1412601,1412603,RUA,BERNARDO GUIMARAES,69,,V ANASTACIO,05092030,SP,7107,,,,,,,,,
60019072,0001,02,1,,08,20081231,71,,,19890214,4781400,,RUA,ALFREDO GUEDES,1949,10 ANDAR SALA 1003,INDEPENDENCIA,13416900,SP,6875,,,,,,,,,
60019080,0001,59,1,DISTRIBUIDORA DE ALIMENTOS TAQUARI,08,20081231,71,,,19890214,4729601,,RUA,EDUARDO MARTINS,531,,CENTRO,18460000,SP,6565,,,,,,,,,
60019098,0001,50,1,RADIO FM ONDA LIVRE,02,20021012,00,,,19890214,6010100,8211300,AVENIDA,ANGELO FRANZIN,942,,CIDADE JARDIM II,13520000,SP,7109,19,34323000,,,19,34210683,FINANCEIRO@ONDALIVRE.COM.BR,,
60019098,0002,31,2,RADIO FM ONDA LIVRE,02,20061010,00,,,20061010,8211300,,AVENIDA,INDEPENDENCIA,3822,,VILA INDEPENDENCIA,13416240,SP,6875,19,34210071,,,19,34210683,FINANCEIRO@ONDALIVRE.COM.BR,,
60019106,0001,69,1,,08,20081231,71,,,19890214,5611203,,RUA,BOM JESUS DE PIRAPORA,2230,,VILA RAMI,13206480,SP,6619,,,,,,,,,
60019114,0001,05,1,,02,20051103,00,,,19890214,4774100,,RUA,VOL DE PIRACICABA,499,,CENTRO,13400290,SP,6875,,,,,,,,,
60019122,0001,51,1,,08,19941013,01,,,19890214,4744001,,RUA,CAUCASO,11,,SANTO AMARO,04727130,SP,7107,,,,,,,,,
60019130,0001,06,1,PIRAESPUMA,04,20190110,63,,,19890214,4759801,,RUA,BENJAMIN CONSTANT,2683,,PAULISTA,13401050,SP,6875,,,,,,,,,
60019130,0002,89,2,,08,19970707,01,,,19930512,4754701,,TRAVESSA,ETAMIR JOSE FERRARI,69,,BAIRRO PAULICEIA,13424041,SP,6875,,,,,,,,,
60019148,0001,08,1,,08,20081231,71,,,19890214,4729601,,AVENIDA,BRIG LUIS ANTONIO,1910,LOJA 14,BELA VISTA,01318002,SP,7107,,,,,,,,,
60019155,0001,00,1,,08,20081231,71,,,19890214,4530701,,RUA,BISPO CESAR DA C FILHO,931,,BOA VISTA,13573284,SP,7079,,,,,,,,,
60019163,0001,48,1,MAGER,04,20190104,63,,,19890214,1412601,1412603,RUA,VICTOR MASTROCOLA,30,,JARDIM SAO LUIZ,13487008,SP,6639,,,,,,,,,
60019171,0001,94,1,SOLLAG IMOBILIARIA,02,20081105,00,,,19890214,6821801,"6821802,6822600",AVENIDA,ARNALDO BIAGIOLI,77,,PINHEIRINHO,13289326,SP,7237,19,38760621,,,,,SOLLAG@SOLLAGIMOBILIARIA.COM.BR,,
60019189,0002,77,2,,08,19950630,01,,,19900518,4729601,,SITIO,AGUAS CLARAS,S N,,KM 3,19300000,SP,6925,,,,,,,,,
60019189,0001,96,1,,08,20200527,01,,,19890214,4711302,,RUA,DUQUE DE CAXIAS,534,,CENTRO,19300000,SP,6925,,,,,,,,,
60019197,0001,32,1,YOSHI,08,20140403,01,,,19890214,5611201,,RUA,JOSE BONIFACIO,1843,      LOJA 1,NUCLEO RESIDENCIAL SILVIO VILARI,13560610,SP,7079,16,33686173,16,33681953,16,33681953,zeorlando@linkway.com.br,,
60019205,0001,40,1,,04,20181219,63,,,19890214,5620104,,RUA,SATURNINO DE BRITO,84,APTO 25,MARAPE,11070000,SP,7071,,,,,,,,,
60019213,0001,97,1,MAGAZINE TRES ESTRELAS,08,20081231,71,,,19890210,4781400,,AVENIDA,MARECHAL DEODORO,848,,CENTRO,14870180,SP,6587,,,,,,,,,
60019221,0001,33,1,RESIDENCIA BAR,08,20081231,71,,,19890210,5611203,,RUA,JUVENAL LUZ,93,,CENTRO,06871010,SP,6545,,,,,,,,,
60019239,0001,35,1,,08,20081202,54,,,19890210,4530703,,RUA,GAL ROQUE SILVA PALMEIR,170,,PQUE SAO LUCAS,03266010,SP,7107,,,,,,,,,
60019247,0001,81,1,BAR E MERCEARIA SANTIAGO,04,20210406,63,,,19890210,5611203,,RUA,SISTO V,268,,JARDIM NOSSA SENHORA APARECIDA,07936040,SP,6427,11,44887633,,,,,ESCRIUNIV@HOTMAIL.COM,,
60019254,0001,83,1,,02,20051103,00,,,19890210,4530703,,RUA,HENRIQUE XAVIER,135,,VILA CARRAO,03436050,SP,7107,011,2958007,,,,,,,
60019262,0001,20,1,,08,20140507,01,,,19890210,4618499,,AVENIDA,MURCHID HOMSI,2309,      SOBRELOJA,JD SANTA MARIA,15013000,SP,7097,17,32352376,,,,,despxv@terra.com.br,,
60019270,0001,76,1,,08,20150209,73,,,19890210,5611203,,RUA,K,2,A,JARDIM ACACIO,07140000,SP,6477,,,,,,,,,
60019288,0001,78,1,,04,20220609,63,,,19890210,4729601,,RUA,MUNIZ FERREIRA,43,,JD MIGUEL MAURICIO,02321170,SP,7107,,,,,,,,,
60019296,0001,14,1,AGROFLORA PLANTAS E FERTIZANTES,08,20081231,71,,,19890210,4771701,,AVENIDA,POUCAN,15,,PORTAL LARANJEIRAS,14900000,SP,6555,,,,,,,,,
60019304,0001,22,1,,08,19920820,01,,,19890210,4781400,,AVENIDA,FEIJO,476,,CENTRO,14801140,SP,6163,,,,,,,,,
60019312,0001,79,1,BAZAR E PAPELARIA 6 M,08,19910703,01,,,19890210,4761001,,RUA,SILVINO V DE MORAES,61,,V NOVA ITAPETININGA,18206420,SP,6547,,,,,,,,,
60019320,0001,15,1,,02,20051103,00,,,19890210,4744002,"4330402,4744001",RUA,LUCAS FORTUNATO,8,,VILA MATHIAS,11075200,SP,7071,13,32341313,,,13,32341313,CND@CONTABILIDADEPSM.COM.BR,,
60019338,0001,17,1,BAR FORMULA UM,08,20081231,71,,,19890210,5611203,,RUA,BATISTA MARTINS,697,,CENTRO,18650000,SP,7103,,,,,,,,,
60019346,0001,63,1,SUQUINHO MARAVILHA,08,20081231,71,,,19890210,4729601,,RUA,VR FORTUNATO PAN.ARNONI,25,,JD CACULA,09401010,SP,6967,,,,,,,,,
60019353,0001,65,1,EU & VOCE BORDADOS,04,20190109,63,,,19890210,1351100,,RUA,SETE DE SETEMBRO,542,LOJA 23,CENTRO,14940000,SP,6493,,,,,,,,,
60019361,0001,01,1,BAZAR E ARMARINHOS SAO THIAGO,08,20110525,01,,,19890210,4713004,,AVENIDA,PRINCESA ISABEL,1640,,JD N S APARECIDA,07941000,SP,6427,,,,,,,,,
60019379,0001,03,1,MOVEIS SANTA LUZIA,08,19900723,01,,,19890210,4754701,,PRACA,DEZ DE MARCO,084,,CENTRO,14500000,SP,6583,,,,,,,,,
60019387,0001,50,1,,02,20051103,00,,,19890210,9521500,,RUA,LIVIO ZAMBECARI,51,,SAO MATEUS,03964000,SP,7107,,,,,,,,,
60019395,0001,04,1,,08,20031007,01,,,19890210,4781400,,RUA,MARIA I O BOTELHO,995,,VL STO ANTONIO,13569265,SP,7079,,,,,,,,,
60019403,0001,04,1,,08,20081231,71,,,19890210,5611203,,AVENIDA,RIO DAS PEDRAS,116,,VL CARRAO,03452000,SP,7107,,,,,,,,,
60019411,0001,50,1,,08,19891031,01,,,19890210,5611203,,RUA,BARAO DE RIO BRANCO,642,,JARDIM MODELO,12510470,SP,6469,,,,,,,,,
60019429,0001,52,1,SORVETERIA SOL DE VERAO,08,19890825,01,,,19890210,5611203,,RUA,ANTONIO COMPAGNO,78,,VILA OESTE,14900000,SP,6555,,,,,,,,,
60019437,0001,07,1,,08,20081231,71,,,19890213,4774100,,RUA,SENADOR FLAQUER,73,8 ANDAR SALA 82,CENTRO,09010160,SP,7057,,,,,,,,,
60019445,0001,45,1,,08,20150209,73,,,19890210,5611203,,,LG CORACAO DE JESUS,154,,CAMPOS ELISIOS,01215020,SP,7107,,,,,,,,,
60019452,0001,47,1,,08,19960731,01,,,19890213,4729601,,RUA,DR DERMIVAL FRANCESCHI,2636,,CENTRO,15370000,SP,6849,,,,,,,,,
60019460,0001,93,1,CIGANO'S BAR E LANCHONETE,08,20081231,71,,,19890213,5611203,,RUA,DOMINGOS CAPELAZO,115,,VILA SEGURA GARCIA,17350000,SP,6501,,,,,,,,,
60019478,0001,95,1,,08,20081231,71,,,19890213,4729601,,SITIO,BELLA VISTA DO LAGEADO,S/N,,ZONA RURAL,14801139,SP,6163,,,,,,,,,
60019486,0001,31,1,CASA AGRO PRIMOS,02,20051103,00,,,19890213,4771701,,RUA,MARIA PONTES GESTAL,611,,CENTRO,15560000,SP,6907,17,34451127,17,34451268,17,34451268,idealamerico@hotmail.com,,
60019494,0001,88,1,BAR E MERCEARIA VEMK,08,20181026,01,,,19890213,5611203,,PRACA,NOSSA SENHORA DA GUIA,174,,CENTRO,11960000,SP,6397,,,,,,,,,
60019502,0001,96,1,FLORAVERAO,08,19950531,01,,,19890213,4713004,,RUA,DR ODON C DE F FERRAZ,705,,VILA LAMBARI,13730330,SP,6711,,,,,,,,,
60019510,0001,32,1,,04,20190109,63,,,19890213,5611203,,RUA,MARECHAL DEODORO,2820,,CENTRO,13560200,SP,7079,,,,,,,,,
60019528,0001,34,1,,08,19900816,01,,,19890213,4530701,,AVENIDA,LELIO PIZZA,365,,CENTRO,17603060,SP,7201,,,,,,,,,
60019536,0001,80,1,,02,20051103,00,,,19890213,4639701,4637199,RUA,PADRE ANTONIO DE ANDRADE,87,,VILA NHOCUNE,03559080,SP,7107,11,27493872,,,,,AGUINALDOMASSON@HOTMAIL.COM,,
60019544,0001,27,1,,08,19890731,01,,,19890213,5611203,,RUA,VERISSIMO PRADO,327,,SANTA CRUZ,13520000,SP,7109,,,,,,,,,
60019551,0001,29,1,BAR E MERCEARIA UNIAO,08,19890918,01,,,19890213,5611203,,RUA,SEBASTIAO BUENO,272,,JD. ITAMARATY,13843130,SP,6715,,,,,,,,,
60019569,0001,20,1,,08,20081231,71,,,19890213,5611203,,RUA,ALEXANDRE FAVARO,245,,VILA BALTIERI,13520000,SP,7109,,,,,,,,,
60019577,0001,77,1,,08,20150724,01,,,19890213,4789099,,PRACA,DEZ DE AGOSTO,638,SALA 04,CENTRO,06890000,SP,5447,,,,,,,,,
60019585,0001,13,1,CONFECCOES SOL ARDENTE,08,19940811,01,,,19890213,4744001,,AVENIDA,DEP CUNHA BUENO,635,,CENTRO,17800000,SP,6101,,,,,,,,,
60019593,0001,60,1,,08,20160509,01,,,19890213,4744001,,RUA,FLAVIO XAVIER ARANTES,4-13,,NUCLEO H.BEIJA-FLOR,17026100,SP,6219,,,,,,,,,
60019601,0001,78,1,EPI CENTRO,08,19940913,01,,,19890213,4774100,,AVENIDA,ABELARDO P.DO AMARAL,513,SALA 01,V.INDUSTRIAL,13024500,SP,6291,,,,,,,,,
60019619,0001,70,1,,08,20081231,71,,,19890213,4722901,,AVENIDA,RUI BARBOSA,1254,,CENTRO,06311001,SP,6313,,,,,,,,,
60019627,0001,16,1,,08,20180618,01,,,19890213,5611203,,RUA,MANOEL JORGE,194,,CENTRO,11510030,SP,6371,,,,,,,,,
60019635,0001,62,1,,08,20120326,01,,,19890213,4781400,,AVENIDA,DR EDU TEIXEIRA DE MENDONCA,165,,JARDIM AMERICA,17605240,SP,7201,14,34043535,14,34043535,14,34043535,alfacont@unisite.com.br,,
60019643,0001,09,1,CASA DE CARNES N S APARECIDA,08,19931124,01,,,19890213,4722901,,RUA,PIRAJUI,344,,VILA CELSO MOUAD,15810160,SP,6323,,,,,,,,,
60019650,0001,00,1,BAZAR E PAPELARIA CAIOA,08,19890820,01,,,19890213,4713004,,RUA,38,233,,JARDIM DO VALE,12510470,SP,6469,,,,,,,,,
60019668,0001,02,1,,04,20181226,63,,,19890213,5611203,,RUA,OCTACILIO NOGUEIRA,400,,VILA AUXILIADORA,18603750,SP,6249,,,,,,,,,
60019676,0001,59,1,,08,20150209,73,,,19890213,4774100,,AVENIDA,INOCENCIO SERAFICO,14,,CENTRO,06320290,SP,6313,,,,,,,,,
60019684,0001,03,1,LUDELAR MOVEIS E ELETRO DOMESTICOS,08,19891220,01,,,19890213,4754701,,PRACA,DEZ DE MARCO,84,,CENTRO,14500000,SP,6583,,,,,,,,,
60019692,0001,41,1,,08,19900814,01,,,19890213,4712100,,RUA,BATATAIS,122,,SANTA HELENA,13845323,SP,6715,,,,,,,,,
60019700,0001,50,1,LANCHONETE DOCE LUAR,08,19940823,01,,,19890213,5611203,,RUA,FRANCISCO T DA SILVA,56,,JD GABRIELA I,06622480,SP,6601,,,,,,,,,
60019718,0001,51,1,,08,20071022,01,,,19890213,8599601,,RUA,IPIRANGA,113,,VL SONIA,08717000,SP,6713,,,,,,,,,
60019726,0001,06,1,,08,20080220,54,,,19890213,5611203,,RUA,TREVO DE BORGONHA,05,A,GUAIANASES,08440140,SP,7107,,,,,,,,,
60019734,0001,44,1,,08,20081231,71,,,19890213,4712100,,RUA,PROF P FERRARI MASSARO,745,,VILA PROGRESSO,08735530,SP,6713,,,,,,,,,
60019742,0001,90,1,ZERMATT COMERCIO E REPRESENTACOES,08,20150209,73,,,19890213,4781400,,RUA,DJALMA FORJAZ,93,BOULEV GENEVE L 110,VILA CAPIVARI,12460000,SP,6295,,,,,,,,,
60019759,0001,48,1,,08,19891130,01,,,19890213,4712100,,RUA,MARQUES DE OLINDA,165,,VILA MARCIA,08940000,SP,6231,,,,,,,,,
60019767,0001,94,1,GSTJ,04,20181004,63,,,19890213,4789099,,RUA,FRANCISCO DO AMARAL,621,,PENHA,03611000,SP,7107,,,,,,,,,
60019775,0001,30,1,FRANCIS CALCADOS,08,20150209,73,,,19890213,4782201,,AVENIDA,GUARDA MOR L VIANA,435,BLOCO B LOJA 8,CENTRO,11600200,SP,7115,,,,,,,,,
60019783,0001,87,1,BAR EMPORIO ALEMAO,08,20081231,71,,,19890213,5611203,,RUA,MARCELINA,39,,JD MONTE CARLO,06626050,SP,6601,,,,,,,,,
60019791,0001,23,1,,04,20181226,63,,,19890213,5611203,,RUA,GOIAS,1099,,BELA VISTA,15370000,SP,6849,,,,,,,,,
60019809,0001,97,1,,08,20081231,71,,,19890213,4619200,,RUA,DEMOSTENES,252,CASA B,CAMPO BELO,04614011,SP,7107,,,,,,,,,
60019817,0001,33,1,AVICOLA NOSSA SENHORA DA GUIA,08,19890622,01,,,19890213,4721102,,RUA,DR NUNO SILVA,210,,CENTRO,11960000,SP,6397,,,,,,,,,
60019825,0001,80,1,BAR E MERCEARIA SANTA RITA DE CASSIA,08,20081231,71,,,19890213,5611203,,RUA,LUIS MATEUS,256,,GUAIANASES,08420750,SP,7107,,,,,,,,,
60019833,0001,26,1,ASTTEKA SPORT LINE,08,20081231,71,,,19890213,4781400,,AVENIDA,PE ARLINDO VIEIRA,2120,,VILA DAS MERCES,04166002,SP,7107,,,,,,,,,
60019841,0001,72,1,AGENDA COMUNICACOES,08,20180731,01,,,19890213,8299799,,RUA,PORTO ALEGRE,52,APT   94,VILA BERTIOGA,03185020,SP,7107,11,20639393,,,,,SUZI@COMUNICA.INF.BR,,
60019858,0001,20,1,,08,20150209,73,,,19890213,4619200,,RUA,HERBERT MOSES,693,,JD MONTE KEMEL,05635000,SP,7107,,,,,,,,,
60019866,0001,76,1,,08,19931030,01,,,19890213,5611203,,RUA,BLAZA MUNHOZ,250,FUNDOS,JARDIM DOS ESTADOS,18046040,SP,7145,,,,,,,,,
60019874,0001,12,1,PAULI'OS,08,20020104,01,,,19890213,4712100,,RUA,WILLIAN WADDEL,310,,CENTRO,06606000,SP,6601,,,,,,,,,
60019882,0001,69,1,,08,20081231,71,,,19890213,4753900,4759899,RUA,HERMELINO MATARAZZO,1582,,ALEM LINHA,18080000,SP,7145,,,,,,,,,
60019890,0001,05,1,,08,19900228,01,,,19890213,5611203,,RUA,15,S/N,,VILA MARIE FRANCE,12460000,SP,6295,,,,,,,,,
60019908,0001,79,1,EXTINTORES M C FIRE,08,20081231,71,,,19890213,4774100,,AVENIDA,DO ORATORIO,3066,,PQUE SAO LUCAS,03117000,SP,7107,,,,,,,,,
60019916,0001,15,1,MASSAS LULIX,08,20081231,71,,,19890213,1094500,,RUA,HENRIQUE CALVITE,245,,PARQUE RECREIO,18650000,SP,7103,,,,,,,,,
60019924,0001,61,1,FREULEIN MODAS,08,19910730,01,,,19890213,1412601,1412603,RUA,FIRMINO BARBOSA,162,,SAO MIGUEL PAULISTA,08011190,SP,7107,,,,,,,,,
60019932,0001,08,1,BAR DO GAUCHO,08,20081231,71,,,19890213,0322101,0321301,AVENIDA,PIZA SOBRINHO,142,,CENTRO,16500000,SP,6277,,,,,,,,,
60019940,0001,54,1,,08,19890823,01,,,19890213,4712100,,RUA,JONAS DA MATA,278,,JARDIM SERENO,16071260,SP,6155,,,,,,,,,
60019957,0001,01,1,,08,19900622,01,,,19890213,5611203,,AVENIDA,SANTO ANTONIO,1036,,CENTRO,17500070,SP,6681,,,,,,,,,
60019965,0001,58,1,,08,20081231,71,,,19890213,4712100,,RUA,CASAREJOS,5,,CENTRO,08773300,SP,6713,,,,,,,,,
60019973,0001,02,1,MODAS FELICIO II,08,20081231,71,,,19890213,4781400,,RUA,JOANA BERNADIN BRIZOLA,494,,VILA BRIZOLA,13347460,SP,6511,,,,,,,,,
60019981,0001,40,1,,04,20181221,63,,,19890213,5611203,,RUA,JOSE VICTOR DE ARAUJO,204,,JD SAO PEDRO,08820450,SP,6713,,,,,,,,,
60019999,0001,42,1,SAO PAULO PUBLICIDADE E PROMOCOES,08,19910517,01,,,19890213,1821100,,RUA,GIRASSOL,298,,JD DAS FLORES,06112150,SP,6789,,,,,,,,,
60020005,0001,08,1,,08,19940614,01,,,19890213,4744001,,RUA,HIGINO MARQUES,723,,CENTRO,18407120,SP,6549,,,,,,,,,
60020013,0001,54,1,AUTO TAPECARIA BELLAS ARTES,04,20181226,63,,,19890213,2949201,,RUA,NOVE DE JULHO,148,FUNDOS,VILA NOVA,17340000,SP,6205,,,,,,,,,
60020021,0001,09,1,,08,20081231,71,,,19890213,5611203,,ESTRADA,DA CRUZ DO SECULO,S/N,POSTE 153,JD MARICA,08775020,SP,6713,,,,,,,,,
60020039,0001,00,1,BAR E MERCEARIA JF,04,20181004,63,,,19890213,5611203,,RUA,FREDERICO MARCICANO,002,,JD SAO LUIZ,05812000,SP,7107,,,,,,,,,
60020047,0001,49,1,,08,20150209,73,,,19890213,4729699,,RUA,RICARDO JULIO FERRAZ,349,,JARDIM ORION,04814120,SP,7107,,,,,,,,,
60020054,0001,40,1,,08,20030321,01,,,19890213,4729699,,RUA,DR JOAO DE OLIVEIRA,885,,BOA VISTA,13575450,SP,7079,,,,,,,,,
60020062,0001,97,1,MACAPEL COMERCIO DE BATERIAS,04,20181220,63,,,19890213,4530701,,AVENIDA,CAPITAO JOAO,438,,MATRIZ,09360120,SP,6689,,,,,,,,,
60020070,0001,33,1,CASA DE CARNE SAO FRANCISCO,04,20181226,63,,,19890213,4722901,,RUA,AURELIO DA SILVA,151,,VILA LEOZINA,17350000,SP,6501,,,,,,,,,
60020088,0001,35,1,MACAPEL COMERCIO DE BATERIAS,08,19900618,01,,,19890213,4530701,,AVENIDA,COM.WOLTERS,555,,CAPUAVA,09361070,SP,6689,,,,,,,,,
60020096,0001,81,1,,04,20201023,63,,,19890213,4712100,,RUA,DR CARLOS DE CAMPOS,547,,CENTRO,16450000,SP,6441,,,,,,,,,
60020104,0001,90,1,VLAD'S-BAR,08,20081231,71,,,19890213,5611203,,AVENIDA,ANDRADE NEVES,826,,VL HELENA,09175360,SP,7057,,,,,,,,,
60020112,0001,36,1,,08,20081231,71,,,19890213,5611203,,RUA,12,S/N,,JARDIM DOM BOSCO,16430000,SP,6445,,,,,,,,,
60020120,0001,82,1,,08,20021202,01,,,19890213,4781400,,RUA,AMARAIS,63,,VL CARRAO,03436040,SP,7107,,,,,,,,,
60020138,0001,84,1,YUTAKA PRESENTES,04,20210310,63,,,19890213,4789099,,RUA,15 DE NOVEMBRO,55,,CENTRO,16400033,SP,6643,,,,,,,,,
60020146,0001,20,1,REFEICOES TIA JUPIRA,08,20081231,71,,,19890213,4729601,,RUA,ANDUZEIRO,27,,AEREOPORTO,04610100,SP,7107,,,,,,,,,
60020153,0001,22,1,BAZAR LUANA,08,19910731,02,,,19890213,4713004,,RUA,JOSE BONIFACIO,666,,CENTRO,13730210,SP,6711,,,,,,,,,
60020161,0001,79,1,LANCHETERIA CAM'MARA,08,20081231,71,,,19890213,5611203,,RUA,MARTIM AFONSO,40,,CENTRO,11080160,SP,7071,,,,,,,,,
60020179,0001,70,1,DROGALIRA,04,20181226,63,,,19890213,4771701,,AVENIDA,BRASIL,625,,CENTRO,17700000,SP,6793,,,,,,,,,
60020187,0001,17,1,,08,20050428,01,,,19890213,1412601,1412603,RUA,SEBASTIAO A T JUNIOR,131,,PQUE BRASIL,12900005,SP,6251,,,,,,,,,
60020195,0001,63,1,LOJA DAS VARIEDADES NAFALDA,08,19911022,01,,,19890213,4754701,,AVENIDA,TABAJARAS,1640,,CENTRO,17604020,SP,7201,,,,,,,,,
60020203,0001,71,1,,08,20081231,71,,,19890213,4722901,,AVENIDA,CARLOS ADOLFSON,1917,,JD BELA VISTA,14900000,SP,6555,,,,,,,,,
60020211,0001,18,1,,08,19920331,01,,,19890213,4120400,4299501,RUA,DR TEIXEIRA,1211,,CENTRO,14940000,SP,6493,,,,,,,,,
60020229,0001,10,1,EDSON FEDERICCI ME REPRESENTACOES COMERCIAIS,08,20081231,71,,,19890213,8888888,,AVENIDA,ARMANDO S DE OLIVEIRA,497,,TAQUARAL,13090150,SP,6291,,,,,,,,,
60020237,0001,66,1,,04,20190109,63,,,19890213,0322101,0321301,RUA,RUI BARBOSA,1486,,JD CONTENDAS,15900000,SP,7175,,,,,,,,,
60020245,0001,02,1,APOLO A CASA DA LINGUICA,08,20081231,71,,,19890213,4721102,,AVENIDA,CEL JOSE S MARCONDES,1877,,VILA NOVA,19010082,SP,6929,,,,,,,,,
60020252,0001,04,1,,08,20081231,71,,,19890213,8888888,,RUA,RIO GRANDE DO NORTE,998,GUICHE 05,ESTACAO RODOVIARIA,17730000,SP,6821,,,,,,,,,
60020260,0001,50,1,A & C COMERCIO E REPRESENTACOES,08,20081231,71,,,19890213,4530701,,RUA,CONSTITUICAO,481,,CENTRO,19807155,SP,6179,,,,,,,,,
60020278,0001,52,1,GRAFICA MAIO,08,20090811,54,,,19950813,1813099,,RUA,QUINTINO BOCAIUVA,1233,SALA  -A-,JARDIM PARAISO,14701470,SP,6221,17,33424752,,,17,33424752,,,
60020286,0001,07,1,HERIETTE TREVISAN RAMOS REPRESENTACOES COMERCIAIS,08,20081231,71,,,19890213,8888888,,RUA,GABRIEL MASCARO,269,,JARDIM TAMOIO,13101229,SP,6291,,,,,,,,,
